cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
7439-97-6,MERCURY,T,ug/l,U50284,ng/l,7439-97-6,"Organics, other","Methylmercury, water, unfiltered, recoverable, nanograms per liter",Methylmercury(1+),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-43-9,CADMIUM,D,ug/l,U52775,ug/l,7440-43-9,"Inorganics, Minor, Metals","Cadmium, water, filtered, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
74-87-3,CHLOROMETHANE,T,ug/l,U34418,ug/l,74-87-3,"Organics, other","Chloromethane, water, unfiltered, recoverable, micrograms per liter",Chloromethane,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",NA,mg/l,U32730,mg/l,NA,"Organics, other","Phenolic compounds, water, unfiltered, recoverable, micrograms per liter",Phenols and phenolic compounds,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-27-4,BROMODICHLOROMETHANE,T,ug/l,U34328,ug/l,75-27-4,"Organics, other","Bromodichloromethane, water, filtered, recoverable, micrograms per liter",Dichlorobromomethane,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
67-66-3,CHLOROFORM,T,ug/l,U99281,ug/l,67-66-3,"Organics, other","Chloroform formation potential, water, filtered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-22-4,SILVER,T,ug/l,U01077,ug/l,7440-22-4,"Inorganics, Minor, Metals","Silver, water, unfiltered, recoverable, micrograms per liter",Silver,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-38-2,ARSENIC,T,ug/l,U50316,ug/l,7440-38-2,"Inorganics, Minor, Non-metals","Arsenic acid, water, filtered, micrograms per liter",Arsenic acid,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
14265-44-2,PHOSPHATE ION,T,mg/l,U70507,mg/l,14265-44-2,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l,U00421,mg/l,ALK,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Alkalinity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l,U39036,mg/l,ALK,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Alkalinity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
NO3NO2N,"NITROGEN, NITRATE-NITRITE",T,mg/l,U00628,mg/l as N,NA,Nutrient,"Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen",Inorganic nitrogen (nitrate and nitrite),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7727-37-9,NITROGEN,T,mg/l,U00597,mg/l,7727-37-9,Nutrient,"Dinitrogen, water, unfiltered, milligrams per liter",Nitrogen,"NA","NA","NA","NA","NA",yes,matches casrn,NA,"NA"
7727-37-9,NITROGEN,T,mg/l,U00629,mg/l,KN,Nutrient,"NA","NA","NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
KN,"NITROGEN, KJELDAHL, TOTAL",T,mg/l,U00629,mg/l,KN,Nutrient,"NA","NA","NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
SC,SPECIFIC CONDUCTANCE,T,umhos/cm,U00094,uS/cm @25C,NA,Physical,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",Specific conductance,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7723-14-0,PHOSPHORUS,T,mg/l,U00665,mg/l as P,7723-14-1,Nutrient,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus",Phosphorus,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,mg/l,U70301,mg/l,TDS,Physical,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",Total dissolved solids,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
