cas_rn.x,chemical_name,fraction,result_unit.x,CHEM_PARAMETER_CDE,result_unit.y,cas_rn.y,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
52663-76-0,"OCTACHLOROBIPHENYL, 2,2',3,4,4',5,5',6- (IUPAC 203)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-52-9,"OCTACHLOROBIPHENYL, 2,2',3,4,4',5,6,6'- (IUPAC 204)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-53-0,"OCTACHLOROBIPHENYL, 2,3,3',4,4',5,5',6- (IUPAC 205)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40186-72-9,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,5',6- (IUPAC 206)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-79-3,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,6,6'- (IUPAC 207)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-77-1,"NONACHLOROBIPHENYL, 2,2',3,3',4,5,5',6,6'- (IUPAC 208)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 21 + 33,PCBS 21 + 33,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-85-8,"TRICHLOROBIPHENYL, 2,3,4'- (IUPAC 22)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55720-44-0,"TRICHLOROBIPHENYL, 2,3,5- (IUPAC 23)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55702-45-9,"TRICHLOROBIPHENYL, 2,3,6- (IUPAC 24)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55712-37-3,"TRICHLOROBIPHENYL, 2,3',4- (IUPAC 25)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-76-7,"TRICHLOROBIPHENYL, 2,3',6- (IUPAC 27)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 28/20,PCB 28/20,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 29 + 26,PCBS 29 + 26,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-62-9,"CHLOROBIPHENYL, 4- (IUPAC 3)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 18 + 30,PCBS 18 + 30,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16606-02-3,"TRICHLOROBIPHENYL, 2,4',5- (IUPAC 31)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-77-8,"TRICHLOROBIPHENYL, 2,4',6- (IUPAC 32)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37680-68-5,"TRICHLOROBIPHENYL, 2',3,5- (IUPAC 34)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37680-69-6,"TRICHLOROBIPHENYL, 3,3',4- (IUPAC 35)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-87-0,"TRICHLOROBIPHENYL, 3,3',5- (IUPAC 36)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-90-5,"TRICHLOROBIPHENYL, 3,4,4'- (IUPAC 37)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53555-66-1,"TRICHLOROBIPHENYL, 3,4,5- (IUPAC 38)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-88-1,"TRICHLOROBIPHENYL, 3,4',5- (IUPAC 39)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029-08-8,"DICHLOROBIPHENYL, 2,2'- (IUPAC 4)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 41 + 71 + 40,PCBS 41 + 71 + 40,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36559-22-5,"TETRACHLOROBIPHENYL, 2,2',3,4'- (IUPAC 42)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70362-46-8,"TETRACHLOROBIPHENYL, 2,2',3,5- (IUPAC 43)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 44 + 47 + 65,PCBS 44 + 47 + 65,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 45 + 51,PCBS 45 + 51,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41464-47-5,"TETRACHLOROBIPHENYL, 2,2',3,6'- (IUPAC 46)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70362-47-9,"TETRACHLOROBIPHENYL, 2,2',4,5- (IUPAC 48)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16605-91-7,"DICHLOROBIPHENYL, 2,3- (IUPAC 5)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 50 + 53,PCBS 50 + 53,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35693-99-3,"TETRACHLOROBIPHENYL, 2,2',5,5'- (IUPAC 52)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15968-05-5,"TETRACHLOROBIPHENYL, 2,2',6,6'- (IUPAC 54)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74338-24-2,"TETRACHLOROBIPHENYL, 2,3,3',4- (IUPAC 55)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41464-43-1,"TETRACHLOROBIPHENYL, 2,3,3',4'- (IUPAC 56)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70424-67-8,"TETRACHLOROBIPHENYL, 2,3,3',5- (IUPAC 57)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41464-49-7,"TETRACHLOROBIPHENYL, 2,3,3',5'- (IUPAC 58)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 59 + 62 + 75,PCBS 59 + 62 + 75,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25569-80-6,"DICHLOROBIPHENYL, 2,3'- (IUPAC 6)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33025-41-1,"TETRACHLOROBIPHENYL, 2,3,4,4'- (IUPAC 60)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 61 + 70 + 74 + 76,PCBS 61 + 70 + 74 + 76,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-34-7,"TETRACHLOROBIPHENYL, 2,3,4',5- (IUPAC 63)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-58-8,"TETRACHLOROBIPHENYL, 2,3,4',6- (IUPAC 64)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32598-10-0,"TETRACHLOROBIPHENYL, 2,3',4,4'- (IUPAC 66)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73575-53-8,"TETRACHLOROBIPHENYL, 2,3',4,5- (IUPAC 67)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73575-52-7,"TETRACHLOROBIPHENYL, 2,3',4,5'- (IUPAC 68)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 69/49,PCB 69/49,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33284-50-3,"DICHLOROBIPHENYL, 2,4- (IUPAC 7)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41464-42-0,"TETRACHLOROBIPHENYL, 2,3',5,5'- (IUPAC 72)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74338-23-1,"TETRACHLOROBIPHENYL, 2,3',5',6- (IUPAC 73)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32598-13-3,"TETRACHLOROBIPHENYL, 3,3',4,4'- (IUPAC 77)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70362-49-1,"TETRACHLOROBIPHENYL, 3,3',4,5- (IUPAC 78)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41464-48-6,"TETRACHLOROBIPHENYL, 3,3',4,5'- (IUPAC 79)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34883-43-7,"DICHLOROBIPHENYL, 2,4'- (IUPAC 8)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33284-52-5,"TETRACHLOROBIPHENYL, 3,3',5,5'- (IUPAC 80)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70362-50-4,"TETRACHLOROBIPHENYL, 3,4,4',5- (IUPAC 81)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-62-4,"PENTACHLOROBIPHENYL, 2,2',3,3',4- (IUPAC 82)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 83 + 99,PCBS 83 + 99,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-60-2,"PENTACHLOROBIPHENYL, 2,2',3,3',6- (IUPAC 84)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCBs 88 + 91,PCBS 88 + 91,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73575-57-2,"PENTACHLOROBIPHENYL, 2,2',3,4,6'- (IUPAC 89)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34883-39-1,"DICHLOROBIPHENYL, 2,5- (IUPAC 9)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-61-3,"PENTACHLOROBIPHENYL, 2,2',3,5,5'- (IUPAC 92)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73575-55-0,"PENTACHLOROBIPHENYL, 2,2',3,5,6'- (IUPAC 94)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38379-99-6,"PENTACHLOROBIPHENYL, 2,2',3,5',6- (IUPAC 95)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73575-54-9,"PENTACHLOROBIPHENYL, 2,2',3,6,6'- (IUPAC 96)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25512-42-9,DICHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28655-71-2,TOTAL HEPTACHLOROBIPHENYLS,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26601-64-9,TOTAL HEXACHLOROBIPHENYLS,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27323-18-8,MONOCHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53742-07-7,NONACHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31472-83-0,OCTACHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1336-36-3,"POLYCHLORINATED BIPHENYLS (PCBS), TOTAL,  (TOTAL IUPACS)",T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25429-29-2,TOTAL PENTACHLOROBIPHENYLS,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26914-33-0,TETRACHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25323-68-6,TRICHLOROBIPHENYL,T,pg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32598-14-4,"PENTACHLOROBIPHENYL, 2,3,3',4,4'- (IUPAC 105)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-37-0,"PENTACHLOROBIPHENYL, 2,3,4,4',5- (IUPAC 114)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31508-00-6,"PENTACHLOROBIPHENYL, 2,3',4,4',5- (IUPAC 118)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65510-44-3,"PENTACHLOROBIPHENYL, 2',3,4,4',5- (IUPAC 123)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57465-28-8,"PENTACHLOROBIPHENYL, 3,3',4,4',5- (IUPAC 126)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050-68-2,"DICHLOROBIPHENYL, 4,4'- (IUPAC 15)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33979-03-2,"HEXACHLOROBIPHENYL, 2,2',4,4',6,6'- (IUPAC 155)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCB 156/157,PCB 156/157,T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-72-6,"HEXACHLOROBIPHENYL, 2,3',4,4',5,5'- (IUPAC 167)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32774-16-6,"HEXACHLOROBIPHENYL, 3,3',4,4',5,5'- (IUPAC 169)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74487-85-7,"HEPTACHLOROBIPHENYL, 2,2',3,4',5,6,6'- (IUPAC 188)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39635-31-9,"HEPTACHLOROBIPHENYL, 2,3,3',4,4',5,5'- (IUPAC 189)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-73-4,"TRICHLOROBIPHENYL, 2,2',6- (IUPAC 19)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2136-99-4,"OCTACHLOROBIPHENYL, 2,2',3,3',5,5',6,6'- (IUPAC 202)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74472-53-0,"OCTACHLOROBIPHENYL, 2,3,3',4,4',5,5',6- (IUPAC 205)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40186-72-9,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,5',6- (IUPAC 206)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52663-77-1,"NONACHLOROBIPHENYL, 2,2',3,3',4,5,5',6,6'- (IUPAC 208)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-24-3,DECACHLOROBIPHENYL (PCB 209),T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-62-9,"CHLOROBIPHENYL, 4- (IUPAC 3)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38444-90-5,"TRICHLOROBIPHENYL, 3,4,4'- (IUPAC 37)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029-08-8,"DICHLOROBIPHENYL, 2,2'- (IUPAC 4)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15968-05-5,"TETRACHLOROBIPHENYL, 2,2',6,6'- (IUPAC 54)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32598-13-3,"TETRACHLOROBIPHENYL, 3,3',4,4'- (IUPAC 77)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70362-50-4,"TETRACHLOROBIPHENYL, 3,4,4',5- (IUPAC 81)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051-60-7,"MONOCHLOROBIPHENYL, 2- (IUPAC 1)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56558-16-8,"PENTACHLOROBIPHENYL, 2,2',4,6,6'- (IUPAC 104)",T,percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7782-49-2,SELENIUM,T,ug/l,U01147,ug/l,7782-49-2,"Inorganics, Minor, Non-metals","Selenium, water, unfiltered, micrograms per liter",Selenium,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
