chemical_name,fraction,result_unit,CHEM_PARAMETER_CDE,parameter_group_nm,SRS_Name,Long_Name,cas_rn
SPECIFIC CONDUCTANCE,NA,umhos/cm,U00094,Physical,Specific conductance,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",SC
SPECIFIC CONDUCTANCE,NA,uS/cm,D00094,Physical,,,
SPECIFIC CONDUCTANCE,T,umhos/cm,U00094,Physical,Specific conductance,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",SC
SULFATE (AS SO4),T,mg/l,U00946,"Inorganics, Major, Non-metals",Sulfate,"Sulfate, water, unfiltered, milligrams per liter",14808-79-8
SULFATE (AS SO4),T,mg/L,U00946,"Inorganics, Major, Non-metals",Sulfate,"Sulfate, water, unfiltered, milligrams per liter",
TEMPERATURE,NA,deg c,U00010,Physical,"Temperature, water","Temperature, water, degrees Celsius",TEMP
TEMPERATURE,T,deg c,U00010,Physical,"Temperature, water","Temperature, water, degrees Celsius",TEMP
TEMPERATURE OF PH ANALYSIS,T,deg c,U00010,Physical,"Temperature, water","Temperature, water, degrees Celsius",TEMP
"TEMPERATURE, AIR",NA,deg C,U00020,Physical,"Temperature, air, deg C","Temperature, air, degrees Celsius",
"TEMPERATURE, WATER",NA,deg C,U00010,Physical,"Temperature, water","Temperature, water, degrees Celsius",
TETRACHLOROETHYLENE (PCE),T,ug/l,U34475,"Organics, other",Tetrachloroethylene,"Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter",127-18-4
TOLUENE-D8,T,%,U99833,Information,,"Toluene-d8, surrogate, water, unfiltered, percent recovery",2037-26-5
TOLUENE-D8,T,percent,U99833,Information,,"Toluene-d8, surrogate, water, unfiltered, percent recovery",2037-26-5
TOLUENE-D8,T,ug/l,D99833,"Inorganics, Major, Non-metals",,,2037-26-5
TOTAL CARBON,D,mg/l,U00682,"Inorganics, Major, Non-metals",Total Carbon,"Carbon [inorganic plus organic], water, filtered, milligrams per liter",7440-44-0
