"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Aluminum",2020-05-20 10:30:00,"7429-90-5","D",10.7,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Arsenic",2020-05-20 10:30:00,"7440-38-2","T",0.39,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Cadmium",2020-05-20 10:30:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Calcium",2020-05-20 10:30:00,"7440-70-2","T",16700,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Carbon, Dissolved Organic (DOC)",2020-05-20 10:30:00,"DOC","D",3.6,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","CHLORIDE (AS CL)",2020-05-20 10:30:00,"16887-00-6","T",68.1,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Copper",2020-05-20 10:30:00,"7440-50-8","D",2,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Copper",2020-05-20 10:30:00,"7440-50-8","T",2.2,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Fluoride, undistilled",2020-05-20 10:30:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","HARDNESS (AS CACO3)",2020-05-20 10:30:00,"HARD","T",60.1,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Iron",2020-05-20 10:30:00,"7439-89-6","T",148,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Lead",2020-05-20 10:30:00,"7439-92-1","D",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Lead",2020-05-20 10:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Magnesium",2020-05-20 10:30:00,"7439-95-4","T",4460,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Manganese",2020-05-20 10:30:00,"7439-96-5","T",27.9,"ug/l",1.7,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Nickel",2020-05-20 10:30:00,"7440-02-0","D",0.78,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Nitrate+Nitrite as Nitrogen",2020-05-20 10:30:00,"NO3NO2N","T",0.935,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Nitrogen",2020-05-20 10:30:00,"7727-37-9","T",1.25,"mg/l",NA,"mg/l",0.1,"","R","Precision error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Nitrogen, ammonia (As N)",2020-05-20 10:30:00,"7664-41-7","T",0.015,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","NITROGEN, KJELDAHL, TOTAL",2020-05-20 10:30:00,"KN","T",0.32,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","NITROGEN, NITRATE (AS N)",2020-05-20 10:30:00,"14797-55-8","T",0.935,"mg/l",NA,"mg/l",0.01,"","R","Precision error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","NITROGEN, NITRITE",2020-05-20 10:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Orthophosphate as Phosphorus, Dissolved",2020-05-20 10:30:00,"PDORTHO","D",0.112,"mg/l",0.0049,"mg/l",0.005,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","PHOSPHORUS, TOTAL (AS P)",2020-05-20 10:30:00,"7723-14-0","T",0.177,"mg/l",0.018,"mg/l",0.025,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Potassium",2020-05-20 10:30:00,"7440-09-7","T",1320,"ug/l",180,"ug/l",2000,"EJ","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Silver",2020-05-20 10:30:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Sodium",2020-05-20 10:30:00,"7440-23-5","T",38100,"ug/l",100,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","SULFATE (AS SO4)",2020-05-20 10:30:00,"14808-79-8","T",10.5,"mg/l",0.4,"mg/l",2,"","A","",2021-04-13
