"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"12-SCHO-0.5","Y","N","ALSRNY","12-SCHO-1.2-03162021-W","12-SCHO-1.2-03162021-W","WS","N","Field","","R2102425","03/16/2021 14:22:00","12-SCHO-1.2",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-POEN-1.9","Y","N","ALSRNY","12-POEN-2.0-03162021","12-POEN-2.0-03162021","WS","N","Field","","R2102425","03/16/2021 15:15:00","12-POEN-2.0",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-POEN-1.9","Y","EB","ALSRNY","12-POEN-2.0-0316-2021-W-EB","12-POEN-2.0-0316-2021-W-EB","WS","N","Field","","R2102425","03/16/2021 15:15:00","12-POEN-2.0",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANW-4.0","Y","N","ALSRNY","12-CANW-7.0-03162021-W","12-CANW-7.0-03162021-W","WS","N","Field","","R2102425","03/16/2021 08:56:00","12-CANW-7.0",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANE-0.5","N","N","ALSRNY","12-CANE-0.5-03162021-W","12-CANE-0.5-03162021-W","WS","N","Field","","R2102425","03/16/2021 10:02:00","12-CANE-0.5",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CARO-0.3","N","N","ALSRNY","12-CARO-0.3-03162021-W","12-CARO-0.3-03162021-W","WS","N","Field","","R2102425","03/16/2021 10:46:00","12-CARO-0.3",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAJO-5.1","N","N_DUPPARENT","ALSRNY","12-CAJO-5.1-03162021-W","12-CAJO-5.1-03162021-W","WS","N","Field","","R2102425","03/16/2021 11:33:00","12-CAJO-5.1",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAJO-5.1","N","DUP","ALSRNY","12-CAJO-5.1-03162021-W-DUP","12-CAJO-5.1-03162021-W-DUP","WS","N","Field","","R2102425","03/16/2021 11:55:00","12-CAJO-5.1",NA,NA,NA,NA,NA,"03/17/2021","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","376466-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/28/2021 12:26:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","716706-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/18/2021 19:35:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","376006-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/18/2021 15:45:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","376467-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/28/2021 12:26:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","716881-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/22/2021 09:30:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","716512-MB1","Method Blank","WQ","LB","Lab","","R2102425","03/17/2021 16:35:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","716707-MB2","Method Blank","WQ","LB","Lab","","R2102425","03/18/2021 20:25:00","Method Blank",NA,NA,NA,NA,NA,"","031521CO2W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
