"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","nickel",2021-07-12 12:15:00,"7440-02-0","T",1.9,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","chloride (as cl)",2021-07-12 12:15:00,"16887-00-6","T",35.2,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","nitrogen",2021-07-12 12:15:00,"7727-37-9","T",9.31,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-07122021-W","R2107012","nitrate+nitrite as nitrogen",2021-07-12 12:15:00,"NO3NO2N","T",8.5,"mg/l","E353.2",0.015,"mg/l",0.02,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","alkalinity, total (as caco3)",2021-08-17 12:00:00,"ALK","T",204,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","aluminum",2021-08-17 12:00:00,"7429-90-5","T",18.5,"ug/l","E200.8",7.6,"ug/l",10,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","arsenic",2021-08-17 12:00:00,"7440-38-2","T",0.51,"ug/l","E200.8",0.32,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","cadmium",2021-08-17 12:00:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","calcium",2021-08-17 12:00:00,"7440-70-2","T",65300,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-08172021-W","R2108376","chloride (as cl)",2021-08-17 12:00:00,"16887-00-6","T",45.8,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
