"CHEM_HISTORY_BATCH_ID","CHEM_HISTORY_SAMPLE_ID","CHB_SYS_SAMPLE_CDE","CHB_LAB_ANAL_METHOD_NAME","CHB_ANALYSIS_DATE","CHB_FRACTION","CHB_TEST_TYPE","CHB_TEST_BATCH_TYPE","CHB_TEST_BATCH_ID","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","","13WALK-T13-1.3_070517_WS","D6919-09",2017-07-10 13:24:00,"T","initial","Analysis","552976","","","",""
"","","13WALK-T13-1.3_070517_WS","E300.0",2017-07-10 18:46:00,"T","initial","Analysis","553044","","","",""
"","","13WALK-T13-1.3_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13WALK-T13-1.3_070517_WS","SM2340B",2017-07-11 13:03:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13WALK-T13-1.3_070517_WS","Calculation",2017-07-06 16:31:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-T13-1.3_070517_WS","E353.2",2017-07-08 12:55:00,"T","initial","Analysis","552790","","","",""
"","","13WALK-T13-1.3_070517_WS","E353.2",2017-07-06 16:31:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-T13-1.3_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13WALK-T13-1.3_070517_WS","E365.1",2017-07-13 13:29:00,"T","initial","Prep","292371","","","",""
"","","13WALK-T13-1.3_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13WALK-13.3_070517_WS","SM 2320 B",2017-07-10 23:06:00,"T","initial","Analysis","552987","","","",""
"","","13WALK-13.3_070517_WS","D6919-09",2017-07-10 14:45:00,"T","initial","Analysis","552976","","","",""
"","","13WALK-13.3_070517_WS","E300.0",2017-07-07 23:51:00,"T","initial","Analysis","552827","","","",""
"","","13WALK-13.3_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13WALK-13.3_070517_WS","SM2340B",2017-07-11 13:06:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13WALK-13.3_070517_WS","Calculation",2017-07-06 16:31:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-13.3_070517_WS","E353.2",2017-07-08 12:56:00,"T","initial","Analysis","552790","","","",""
"","","13WALK-13.3_070517_WS","E353.2",2017-07-06 16:31:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-13.3_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13WALK-13.3_070517_WS","E365.1",2017-07-13 13:30:00,"T","initial","Prep","292371","","","",""
"","","13WALK-13.3_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13WALK-15.0_070517_WS","SM 2320 B",2017-07-10 23:13:00,"T","initial","Analysis","552987","","","",""
"","","13WALK-15.0_070517_WS","D6919-09",2017-07-12 14:21:00,"T","initial","Analysis","553387","","","",""
"","","13WALK-15.0_070517_WS","E300.0",2017-07-08 00:01:00,"T","initial","Analysis","552827","","","",""
"","","13WALK-15.0_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13WALK-15.0_070517_WS","SM2340B",2017-07-11 13:09:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13WALK-15.0_070517_WS","Calculation",2017-07-06 16:32:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-15.0_070517_WS","E353.2",2017-07-08 12:58:00,"T","initial","Analysis","552790","","","",""
"","","13WALK-15.0_070517_WS","E353.2",2017-07-06 16:32:00,"T","initial","Analysis","552793","","","",""
"","","13WALK-15.0_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13WALK-15.0_070517_WS","E365.1",2017-07-13 13:30:00,"T","initial","Prep","292371","","","",""
"","","13WALK-15.0_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13WALK-13.3 DUP_070517_WS","SM 2320 B",2017-07-10 23:19:00,"T","initial","Analysis","552987","","","",""
