"CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT"
"12-CARO-0.3","03/16/2021","N","ALSRNY","12-CARO-0.3-03162021-W","12-CARO-0.3-03162021-W","WS","N","N","Field","","R2102425","03/16/2021 10:46:00","03/17/2021","12-CARO-0.3",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-W","12-CAJO-5.1-03162021-W","WS","N","N","Field","","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-W-DUP","12-CAJO-5.1-03162021-W-DUP","WS","N","N","Field","","R2102425","03/16/2021 11:55:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/28/2021 12:26:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","716706-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/18/2021 19:35:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","376006-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/18/2021 15:45:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376467-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/28/2021 12:26:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/22/2021","N","ALSRNY","716881-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/22/2021 09:30:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/17/2021","N","ALSRNY","716512-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/17/2021 16:35:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","716707-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102425","03/18/2021 20:25:00",,"Method Blank",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376466-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/28/2021 12:26:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","716706-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/18/2021 19:44:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","376006-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/18/2021 15:45:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/28/2021","N","ALSRNY","376467-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/28/2021 12:26:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/22/2021","N","ALSRNY","716881-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/22/2021 09:30:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"00-QAQC-0.0","03/18/2021","N","ALSRNY","716707-LCS2","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102425","03/18/2021 20:26:00",,"Lab Control Sample",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-WDUP","12-CAJO-5.1-03162021-W","WS","N","LR","Lab","12-CAJO-5.1-03162021-W","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-WMS","12-CAJO-5.1-03162021-W","WS","N","MS","Lab","12-CAJO-5.1-03162021-W","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-W MS","12-CAJO-5.1-03162021-W","WS","N","MS","Lab","12-CAJO-5.1-03162021-W","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-WSD","12-CAJO-5.1-03162021-W","WS","N","SD","Lab","12-CAJO-5.1-03162021-W","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-CAJO-5.1","03/16/2021","N","ALSRNY","12-CAJO-5.1-03162021-W SD","12-CAJO-5.1-03162021-W","WS","N","SD","Lab","12-CAJO-5.1-03162021-W","R2102425","03/16/2021 11:33:00","03/17/2021","12-CAJO-5.1",,"031521CO2W","NYSDEC",
"12-ORSK-0.9","03/16/2021","N","ALSRNY","12-ORSK-0.9-03162021-W","12-ORSK-0.9-03162021-W","WS","N","N","Field","","R2102507","03/16/2021 10:30:00","03/18/2021","12-ORSK-0.9",,,"NYSDEC",
"12-SAUQ-1.7","03/16/2021","N","ALSRNY","12-SAUQ-1.7-03162021-W","12-SAUQ-1.7-03162021-W","WS","N","N","Field","","R2102507","03/16/2021 11:30:00","03/18/2021","12-SAUQ-1.7",,,"NYSDEC",
