"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"13WALK_T44-3.0_07262017_WS","E365.1","08/02/2017 18:10:00","T",NA,"initial","Prep","294117"
"13WALK_T44-3.0_07262017_WS","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"13OTTK-2.4_07262017_WS","SM 2320 B","07/30/2017 14:26:00","T",NA,"initial","Analysis","555663"
"13OTTK-2.4_07262017_WS","D6919-09","08/09/2017 02:24:00","T",NA,"initial","Analysis","557004"
"13OTTK-2.4_07262017_WS","E300.0","08/03/2017 01:42:00","T",NA,"initial","Analysis","556205"
"13OTTK-2.4_07262017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13OTTK-2.4_07262017_WS","SM2340B","08/05/2017 01:09:00","T",NA,"initial","Analysis","6AUG04A"
"13OTTK-2.4_07262017_WS","Calculation","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13OTTK-2.4_07262017_WS","E353.2","08/02/2017 16:44:00","T",NA,"initial","Analysis","556184"
"13OTTK-2.4_07262017_WS","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13OTTK-2.4_07262017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13OTTK-2.4_07262017_WS","E365.1","08/02/2017 18:21:00","T",NA,"initial","Prep","294117"
"13OTTK-2.4_07262017_WS","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"13MANY-1.3_07262017_WS","SM 2320 B","07/30/2017 14:31:00","T",NA,"initial","Analysis","555663"
"13MANY-1.3_07262017_WS","D6919-09","08/09/2017 03:30:00","T",NA,"initial","Analysis","557004"
"13MANY-1.3_07262017_WS","E300.0","08/03/2017 01:53:00","T",NA,"initial","Analysis","556205"
"13MANY-1.3_07262017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13MANY-1.3_07262017_WS","SM2340B","08/05/2017 01:12:00","T",NA,"initial","Analysis","6AUG04A"
"13MANY-1.3_07262017_WS","Calculation","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13MANY-1.3_07262017_WS","E353.2","08/02/2017 16:42:00","T",NA,"initial","Analysis","556184"
"13MANY-1.3_07262017_WS","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13MANY-1.3_07262017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13MANY-1.3_07262017_WS","E365.1","08/02/2017 18:02:00","T",NA,"initial","Prep","294117"
"13MANY-1.3_07262017_WS","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"13VERK-2.9_07262017_WS","SM 2320 B","07/30/2017 14:54:00","T",NA,"initial","Analysis","555664"
"13VERK-2.9_07262017_WS","D6919-09","08/09/2017 02:57:00","T",NA,"initial","Analysis","557004"
"13VERK-2.9_07262017_WS","E300.0","08/02/2017 00:12:00","T",NA,"initial","Analysis","556040"
"13VERK-2.9_07262017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13VERK-2.9_07262017_WS","SM2340B","08/05/2017 01:33:00","T",NA,"initial","Analysis","6AUG04A"
"13VERK-2.9_07262017_WS","Calculation","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13VERK-2.9_07262017_WS","E353.2","08/02/2017 15:59:00","T",NA,"initial","Analysis","556184"
"13VERK-2.9_07262017_WS","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13VERK-2.9_07262017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13VERK-2.9_07262017_WS","E365.1","08/02/2017 18:11:00","T",NA,"initial","Prep","294117"
"13VERK-2.9_07262017_WS","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
"13WPALG-3.4_07262017_WS","SM 2320 B","07/30/2017 14:57:00","T",NA,"initial","Analysis","555664"
"13WPALG-3.4_07262017_WS","D6919-09","08/09/2017 05:10:00","T",NA,"initial","Analysis","557004"
"13WPALG-3.4_07262017_WS","E300.0","08/02/2017 00:23:00","T",NA,"initial","Analysis","556040"
"13WPALG-3.4_07262017_WS","E120.1","07/31/2017 14:55:00","T",NA,"initial","Analysis","555758"
"13WPALG-3.4_07262017_WS","SM2340B","08/05/2017 01:37:00","T",NA,"initial","Analysis","6AUG04A"
"13WPALG-3.4_07262017_WS","Calculation","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13WPALG-3.4_07262017_WS","E353.2","08/02/2017 16:01:00","T",NA,"initial","Analysis","556184"
"13WPALG-3.4_07262017_WS","E353.2","07/27/2017 12:19:00","T",NA,"initial","Analysis","555535"
"13WPALG-3.4_07262017_WS","SM 4500-H+B","07/28/2017 13:13:00","T",NA,"initial","Analysis","555669"
"13WPALG-3.4_07262017_WS","E365.1","08/02/2017 18:12:00","T",NA,"initial","Prep","294117"
"13WPALG-3.4_07262017_WS","E180.1","07/27/2017 14:06:00","T",NA,"initial","Analysis","555285"
